Campaign Name,Ad Set Name,Ad Name,Objective,Spend,Impressions,Reach,Frequency,CPM,Clicks,Link Clicks,CPC,CTR,Landing Page Views,Cost per LPV,Video Plays,3-Sec Views,ThruPlays,50% Video Views,95% Video Views,Engagements,Add to Carts,Purchases,Revenue,ROAS,New Customers
TOF - Broad Awareness - Q4,Cold Audiences - Lookalike 1%,Hook Test A - Problem Statement,REACH,485.20,98500,76200,1.29,4.93,1240,980,0.49,0.0126,820,0.59,92000,29440,18400,14720,9200,4925,,,,,
TOF - Broad Awareness - Q4,Cold Audiences - Lookalike 1%,Hook Test B - Social Proof,REACH,412.80,87600,68400,1.28,4.71,890,710,0.46,0.0102,580,0.71,82400,14832,8240,7416,5748,3504,,,,,
TOF - Broad Awareness - Q4,Cold Audiences - Lookalike 2-5%,Brand Video 30s,OUTCOME_AWARENESS,620.50,124000,95000,1.31,5.00,1560,1240,0.40,0.0126,1040,0.60,118000,41300,23600,18880,10620,6200,,,,,
TOF - Broad Awareness - Q4,Interest Targeting - Fitness,UGC Testimonial Video,VIDEO_VIEWS,298.40,62800,51200,1.23,4.75,720,590,0.41,0.0115,480,0.62,59500,8330,5355,4165,2380,3140,,,,,
TOF - Prospecting - New,Broad Cold - No Interest,Lifestyle Photo Carousel,REACH,185.60,48200,41800,1.15,3.85,540,430,0.34,0.0112,310,0.60,,,,,,1930,,,,,
MOF - Consideration - Traffic,Engaged Viewers Retarget,Educational Blog Post Ad,OUTCOME_TRAFFIC,342.10,28600,22400,1.28,11.96,2840,2620,0.12,0.0993,2230,0.15,,,,,,1430,284,28,,,
MOF - Consideration - Traffic,Landing Page Visitors 30d,Comparison Guide - vs Competitor,TRAFFIC,289.40,22800,18600,1.23,12.69,2460,2280,0.12,0.1079,1940,0.15,,,,,,1140,232,14,,,
MOF - Consideration - Traffic,Video Viewers 50%+,Product Explainer - How It Works,OUTCOME_ENGAGEMENT,198.60,18400,15200,1.21,10.79,1840,1720,0.11,0.1000,1450,0.14,,,,,,920,147,9,,,
MOF - Quiz Funnel,Lookalike - Past Purchasers 5%,Quiz Entry Ad - What Type Are You,OUTCOME_TRAFFIC,156.80,14200,11800,1.20,11.04,1620,1510,0.10,0.1141,1290,0.12,,,,,,710,97,6,,,
BOF - Conversion - Purchase,Website Visitors 30d,Direct Response - Shop Now,CONVERSIONS,1240.50,18600,12400,1.50,66.69,980,940,1.26,0.0527,860,1.44,,,,,,,215,52,3640,2.94,12
BOF - Conversion - Purchase,Website Visitors 30d,Testimonial + Offer,OUTCOME_SALES,980.20,14800,10200,1.45,66.23,820,790,1.24,0.0554,720,1.36,,,,,,,186,44,2860,2.92,10
BOF - Conversion - Purchase,ATC Abandoners 7d,Dynamic Product Ads - Catalog,CATALOG_SALES,2340.80,32400,18200,1.78,72.25,1640,1580,1.47,0.0506,1380,1.70,,,,,,,412,118,8732,3.73,18
